epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,3620.06,1.00807,0.657,0.91099,0.76935,0.74125,0.80706,0.62238,0.73874,0.74453,0.94752,0.000148696,0.000148696,0.000148696
140,3645.83,1.02132,0.66361,0.91562,0.7816,0.72872,0.80649,0.62082,0.7432,0.75914,0.94432,0.000137694,0.000137694,0.000137694
141,3671.24,1.06826,0.71587,0.93399,0.77647,0.72862,0.80191,0.61191,0.75895,0.74286,0.94684,0.000126692,0.000126692,0.000126692
142,3696.11,1.03901,0.68071,0.92763,0.77694,0.73746,0.80222,0.61219,0.76629,0.74061,0.95191,0.00011569,0.00011569,0.00011569
143,3720.95,1.0387,0.67994,0.92709,0.78243,0.73267,0.8032,0.61242,0.76847,0.73138,0.95201,0.000104688,0.000104688,0.000104688
144,3745.78,1.02543,0.67363,0.91845,0.78733,0.72759,0.80352,0.61152,0.77763,0.73524,0.96309,9.36854e-05,9.36854e-05,9.36854e-05
145,3770.69,1.02259,0.66763,0.91967,0.7783,0.72937,0.80467,0.61501,0.76327,0.72878,0.95254,8.26832e-05,8.26832e-05,8.26832e-05
146,3795.58,1.03051,0.67565,0.92201,0.79603,0.71884,0.8056,0.61328,0.76989,0.73751,0.95033,7.1681e-05,7.1681e-05,7.1681e-05
147,3820.4,1.02236,0.67171,0.92305,0.78844,0.72321,0.80515,0.61368,0.76984,0.73057,0.94798,6.06788e-05,6.06788e-05,6.06788e-05
148,3845.21,1.01586,0.66674,0.92063,0.77697,0.7318,0.80559,0.61367,0.76436,0.72538,0.94489,4.96766e-05,4.96766e-05,4.96766e-05
149,3870.01,1.01042,0.65909,0.91809,0.77982,0.73068,0.80604,0.61545,0.75807,0.72582,0.94559,3.86744e-05,3.86744e-05,3.86744e-05
150,3894.86,1.01253,0.66072,0.9178,0.78374,0.72788,0.80554,0.6154,0.76009,0.72456,0.94387,2.76722e-05,2.76722e-05,2.76722e-05
